review,actual_sentiment,predicted_sentiment,correct_prediction,error_type
home hrs gfc,positive,negative,False,positive -> negative
need miracle help flight fingerscrossed pleasegod missmykids,negative,neutral,False,negative -> neutral
cancelled flighting flight today weather dallas charged,negative,neutral,False,negative -> neutral
consider honoring original fare price try flight booking problems ticket,negative,neutral,False,negative -> neutral
yes d y instagram,positive,neutral,False,positive -> neutral
southwest scheduled fly costa rica march cannot book online available,negative,neutral,False,negative -> neutral
thanks forcing check carry luggage exactly spent extra money travel size toiletries,positive,negative,False,positive -> negative
cheat goes horribly wrong promise not stray anymore talking,negative,neutral,False,negative -> neutral
travel advis nyc phil pa winter weather u s air not posted change flt wo pen,negative,neutral,False,negative -> neutral
going giving travel agent rates hold iata card,neutral,negative,False,neutral -> negative
email address send actually screen shot,neutral,negative,False,neutral -> negative
not sure help d great,neutral,positive,False,neutral -> positive
cannot dm guys jdhadp,negative,neutral,False,negative -> neutral
hate having fly different airline fav,positive,negative,False,positive -> negative
held plane,positive,negative,False,positive -> negative
delayed way puerto rico delayed way new york disgraceful,negative,neutral,False,negative -> neutral
promise not unfollow,neutral,negative,False,neutral -> negative
priority seating paid flight,neutral,negative,False,neutral -> negative
d suggest proper information dissemination staff timely relevant schedule prevent future,neutral,negative,False,neutral -> negative
grk m file reference,negative,neutral,False,negative -> neutral
supposed arrive destination tonight american rebooks wednesday staying,negative,neutral,False,negative -> neutral
just booked bos uggh hour bus wmass home flown bdl dc time unitedairlines,negative,positive,False,negative -> positive
real deal delay flight ua denver vegas,negative,neutral,False,negative -> neutral
loving boarding chicago keepitmovin,positive,neutral,False,positive -> neutral
characters respond formal letter trust plenty say,neutral,negative,False,neutral -> negative
no worries able read entire book holding themagicalstranger,neutral,positive,False,neutral -> positive
mint service nyc san diego,neutral,positive,False,neutral -> positive
not rt fleet s fleek,negative,neutral,False,negative -> neutral
hold minutes help,neutral,negative,False,neutral -> negative
point email stating did not bumped st class know not class booked regular ticket,neutral,negative,False,neutral -> negative
julie andrews lady gaga wow d night carrie meh,neutral,positive,False,neutral -> positive
thing fella right today pacific time zone,positive,neutral,False,positive -> neutral
delayed connection customer service today able pay final respects dear family member thank,positive,negative,False,positive -> negative
doing thing tried avoid thank sending baggage claim,negative,positive,False,negative -> positive
just dm d,negative,neutral,False,negative -> neutral
no kidding gonna beating apron good lookin planes,positive,negative,False,positive -> negative
waiting,neutral,negative,False,neutral -> negative
left ipad flight erw den opened claim memories plz help,negative,neutral,False,negative -> neutral
illiterate magic code make customer service site work,negative,positive,False,negative -> positive
admit not app good lots useful func live seat map congrats,positive,negative,False,positive -> negative
delayed flights today not weather relate flightd good work,negative,positive,False,negative -> positive
sure saying long tweeting obsolete fleet promises free,negative,neutral,False,negative -> neutral
difference booked flights want screen shots,negative,neutral,False,negative -> neutral
hey booked flight isabelle gramp boston lax said charged credit card transaction did not,negative,neutral,False,negative -> neutral
copy flight showing original time delay need work thanks,neutral,negative,False,neutral -> negative
service desk iad,neutral,positive,False,neutral -> positive
thanks julian login getting earlier flight dca,positive,neutral,False,positive -> neutral
thank uxzj paid early bird sat,negative,positive,False,negative -> positive
worked like charm bag waiting carousel got baggage claim welldone goodflight friendlysky,positive,negative,False,positive -> negative
zoom sauce potatoes stuff vile mean vile,negative,neutral,False,negative -> neutral
heard companies studying popular lingo advertising just depressing embarrassing,negative,neutral,False,negative -> neutral
ah given shuttle voucher airport getting,neutral,negative,False,neutral -> negative
going flight buffalo jfk figured temperature tower,negative,neutral,False,negative -> neutral
return jet miami,negative,neutral,False,negative -> neutral
hi protect just case ground no checked luggage chance make original,neutral,negative,False,neutral -> negative
did not receive drink coupons points friends did,negative,neutral,False,negative -> neutral
website fucked instead flight ve yesterday s today thanks,negative,neutral,False,negative -> neutral
frustrating days no flights home changed airlines thank phl usairway employees help getting iah,positive,negative,False,positive -> negative
ive airline great soured experience hope not time,negative,positive,False,negative -> positive
thanks taking good care luggage,negative,positive,False,negative -> positive
best never fly w americanairlines y day remember,negative,positive,False,negative -> positive
terminal e miami worst smelly airport thanks,negative,positive,False,negative -> positive
hey missed outbound flight use return ticket,neutral,negative,False,neutral -> negative
phone looks like global,neutral,negative,False,neutral -> negative
loyal usair customer sure make right want home work,positive,negative,False,positive -> negative
cannot right baby just fell asleep,neutral,negative,False,neutral -> negative
flight booking problems week s trip thanks making choice easy disunited unfriendlyskies servicefail,negative,positive,False,negative -> positive
thank tried said did not try,positive,neutral,False,positive -> neutral
stop changing flights spring break th time,negative,neutral,False,negative -> neutral
love report horrible flight team let s make worse seat snacks,negative,positive,False,negative -> positive
yep certain flight,negative,neutral,False,negative -> neutral
thanks lack help canned response k desk,negative,positive,False,negative -> positive
haha no need apologize flight booking problems sooner late flightr love jetblue,positive,negative,False,positive -> negative
expect,negative,neutral,False,negative -> neutral
flight available tomorrow morning idea bna open morning flight,negative,neutral,False,negative -> neutral
dont send tweet cover social media complaints sending message way resolve custserv,negative,neutral,False,negative -> neutral
ready,positive,neutral,False,positive -> neutral
amsterdam ewr,neutral,negative,False,neutral -> negative
plane,neutral,negative,False,neutral -> negative
mom said never settle chips ain t blue just not,neutral,negative,False,neutral -> negative
received invitation participate e rewards legit jetblue just double checking bc site looked different,neutral,negative,False,neutral -> negative
guys respond tweets dm really sad feeling ignored,negative,neutral,False,negative -> neutral
overbooked business class mia uvf correct seat moved economy special day,negative,neutral,False,negative -> neutral
report team,negative,positive,False,negative -> positive
u want helpful save trip westchester cty jfk plus parking info photo,negative,positive,False,negative -> positive
ahhhh sorry just followed,neutral,positive,False,neutral -> positive
day visa expiring june booked flight day,negative,neutral,False,negative -> neutral
insensitive foodallergies life threatening unsolicited uneducated opinions inappropriate reckless dangerous,negative,neutral,False,negative -> neutral
s direct flight fll sfo unexpected layover vegas fuel peeps bought vegas flight sneaky,negative,neutral,False,negative -> neutral
disappointed learn charging use k miles upgrades ps jfk flights looking alternatives,negative,neutral,False,negative -> neutral
make sure care team team,neutral,positive,False,neutral -> positive
did not d,positive,negative,False,positive -> negative
personal device entertainment great app crashing mins glad free,negative,positive,False,negative -> positive
thanks gate change,negative,positive,False,negative -> positive
great boarding perfectly plane shot fml plans screwed thanks,negative,positive,False,negative -> positive
staff members looking like heads check websites,negative,neutral,False,negative -> neutral
flight did not needed hot beverages ny ers landing super smooth happytweet,positive,negative,False,positive -> negative
important accept swadiversity,neutral,positive,False,neutral -> positive
thx stand know frustrating appreciate patience try way jh,neutral,positive,False,neutral -> positive
friendly efficient air attendants coach ua,negative,positive,False,negative -> positive
just said not know,negative,neutral,False,negative -> neutral
yes no answering train,neutral,negative,False,neutral -> negative
disgusting unconscionable treatment received tonight,negative,neutral,False,negative -> neutral
getaway deals way lots cool cities cheapflights farecompare,neutral,positive,False,neutral -> positive
fyi info com email address say contact password reset emails does not exist emails bounce,negative,neutral,False,negative -> neutral
cannot say airline right sincerely miss bestairline,positive,negative,False,positive -> negative
man steel flies cities frequency,negative,neutral,False,negative -> neutral
confirm cid dfw departure cancelled flighted not want make hour drive,neutral,negative,False,neutral -> negative
hi just bked cool birthday trip cannot add elevate no cause entered middle flight booking problems,negative,neutral,False,negative -> neutral
yes tomorrow work really mad situation,negative,positive,False,negative -> positive
not know working home thanks,negative,positive,False,negative -> positive
daughter record loc kybilc traveling y o needs adjacent seats not isle,neutral,negative,False,neutral -> negative
flight balt hit turbulence babies cried kids vomited chaos flight attendant caroline superhero,negative,neutral,False,negative -> neutral
hi flight dfw cancelled flightled tonight called left number hrs help,negative,neutral,False,negative -> neutral
usually lounge staff fantastic today mco denied entry lounge traveling united,negative,positive,False,negative -> positive
rules,positive,negative,False,positive -> negative
m cool weather delays lying deceiving passengers changing reprehensible yousuck,negative,neutral,False,negative -> neutral
left comment customer care thanks contacting,positive,neutral,False,positive -> neutral
embarrassed air inability manage weather delays handling example,negative,neutral,False,negative -> neutral
guidelines say x x bag x x bit taller guidelines gonna problem,neutral,negative,False,neutral -> negative
leaving tomorrow miami thing right deliver bags airport,negative,neutral,False,negative -> neutral
ok thanks counters located late flight open,neutral,positive,False,neutral -> positive
trying make reservation year old lap child not option online proceed reservation,negative,neutral,False,negative -> neutral
won tickets totally beach right flightlanding sunscreen feelsgood,neutral,positive,False,neutral -> positive
airlines cable internet,negative,neutral,False,negative -> neutral
flight got cancelled flightled grk dfw lex tomorrow need rebooked,neutral,negative,False,neutral -> negative
hi looks like connection delayed make thanks,positive,neutral,False,positive -> neutral
sorry equipment passengers allowed return plane,neutral,negative,False,neutral -> negative
reservation online did not receive confirmation email bank said transaction went u help,negative,neutral,False,negative -> neutral
no not notify new,neutral,negative,False,neutral -> negative
unfortunately no lack status big problem company policy forces buy cheapest tickets,neutral,negative,False,neutral -> negative
help set callback today,negative,neutral,False,negative -> neutral
thank reaching hopefully request fixed remain loyal customer,negative,positive,False,negative -> positive
dollar rt ticket chicago yes,positive,neutral,False,positive -> neutral
jetblue travel maimi year guys dont maimi dont guys maimi,negative,positive,False,negative -> positive
anticipate cancelled flightlations flights nashville tomorrow thank,neutral,positive,False,neutral -> positive
never given,neutral,negative,False,neutral -> negative
aa gate supervisor emplid allowed flight aa leave jfk sj feb w o customers final boarding,neutral,negative,False,neutral -> negative
stuck fort lauderdale,negative,neutral,False,negative -> neutral
thanks,neutral,positive,False,neutral -> positive
free flights life choose purchase tickets competitor,negative,neutral,False,negative -> neutral
seats just fees taking flight wave,negative,neutral,False,negative -> neutral
chairs use tlc power outlets area bonus headed,positive,neutral,False,positive -> neutral
jetblue sofly wish firststari seetonight,neutral,positive,False,neutral -> positive
just sent drink coupons think coupons free drinks,positive,neutral,False,positive -> neutral
highlight stated travel canada usa united nexus,negative,neutral,False,negative -> neutral
really not use word crashing just sayin,neutral,negative,False,neutral -> negative
thanks trip screwed ive meetings dinner im not nyc,negative,positive,False,negative -> positive
nd chance today fly dam let s redeem horrendous trip states,negative,neutral,False,negative -> neutral
thought thanks clarification,neutral,positive,False,neutral -> positive
post just disappointment frequent united flyer simple bad apple does not spoil bunch,neutral,negative,False,neutral -> negative
does not look fat looks yummy,positive,negative,False,positive -> negative
fleet s fleek no yall better,positive,neutral,False,positive -> neutral
drop time visit,positive,neutral,False,positive -> neutral
just wanted let know wonderful rosetta gate agent working flight dan ase let know wasappreciated,positive,neutral,False,positive -> neutral
lady helping luggage,positive,negative,False,positive -> negative
mins wait,neutral,negative,False,neutral -> negative
fleet s fleek really jetblue fleek hell no yall petty,negative,neutral,False,negative -> neutral
planes really pretty just thought u know,positive,neutral,False,positive -> neutral
new baggage fees fare structures reduced legroom turned hated carrier congrats,negative,positive,False,negative -> positive
just told supervisor not guarantee seats standby passengers flights cancelled flightled sell,neutral,negative,False,neutral -> negative
thank not really responding request sending generic environment site,negative,positive,False,negative -> positive
great thank send,neutral,positive,False,neutral -> positive
freaking fact fixing engine charlotte orlando longday,negative,neutral,False,negative -> neutral
wife s flight dal just got cancelled flightled does options home phx dal,negative,neutral,False,negative -> neutral
plus food taxis,negative,neutral,False,negative -> neutral
guys continue impress houston,positive,negative,False,positive -> negative
told united carry carry refund,neutral,negative,False,neutral -> negative
sfo hnl zero entertainment systems youareonyourown,negative,neutral,False,negative -> neutral
multiplier ticket price never equal miles travel transatlantic flights,neutral,negative,False,neutral -> negative
absolutely,neutral,positive,False,neutral -> positive
lower plane flight like bucks thanks floridavacation,neutral,positive,False,neutral -> positive
went number priority,positive,neutral,False,positive -> neutral
ugh know way heart,positive,neutral,False,positive -> neutral
progress good luck patrick,neutral,positive,False,neutral -> positive
going wifi planes,neutral,negative,False,neutral -> negative
say connections good reflight booking problems thing need today,negative,positive,False,negative -> positive
sure looks like make birthday celebration,negative,positive,False,negative -> positive
cause trueblue ur love keeps liftin higherandhigher,neutral,positive,False,neutral -> positive
idea flight aa,negative,neutral,False,negative -> neutral
sooo earlier said fly school trip,positive,neutral,False,positive -> neutral
need help never got tickets conf ggqzqd,neutral,negative,False,neutral -> negative
thanks letting know hoping no delays,positive,negative,False,positive -> negative
runs airport boarding pass says airways wait american line yousuck,negative,neutral,False,negative -> neutral
interested possibly changing flight day need fees number busy,negative,neutral,False,negative -> neutral
making dreams come true destinationdragons scavenger hunt win chance imagine dragons,positive,neutral,False,positive -> neutral
actually flight not,neutral,negative,False,neutral -> negative
yes filled form year not case number handy guess not cut historical society afterall,neutral,negative,False,neutral -> negative
cc boldflavors bringing bourbon st ft bold flavors fresh ingredients dining options,positive,neutral,False,positive -> neutral
left min wway,neutral,negative,False,neutral -> negative
tried cannot figure,neutral,negative,False,neutral -> negative
passengers automatically rebooked flights original cancelled flighted weather,neutral,negative,False,neutral -> negative
worry,negative,neutral,False,negative -> neutral
bag policy says stroller car seat need bring car seats stroller just details,neutral,negative,False,neutral -> negative
fine automatically changed connecting flight not miss work,positive,negative,False,positive -> negative
got kidding look pictures hoping flight just came story,negative,neutral,False,negative -> neutral
accept apologies lame childish tweet did not deserve remain loyal sw customer,positive,negative,False,positive -> negative
cool canned response nah think tweeting mentions aa twitter dm,negative,neutral,False,negative -> neutral
yes like need luggage tomorrow morning,negative,neutral,False,negative -> neutral
tell,negative,neutral,False,negative -> neutral
en route airport rebooked ticket refunded,positive,neutral,False,positive -> neutral
ah wish good luck,neutral,positive,False,neutral -> positive
did aa return jfk thanks,neutral,positive,False,neutral -> positive
yesterday way ewr fll just wheelsup jetbluesofly,positive,neutral,False,positive -> neutral
really sprint thought guys kewl,neutral,negative,False,neutral -> negative
wonder pilot tweeting legal tweet fly plane stops suddenly,negative,neutral,False,negative -> neutral
awesome book christmas vacatinn december ways want devalue mileage plus,positive,neutral,False,positive -> neutral
bring fianc,negative,neutral,False,negative -> neutral
exactly ill flying aa dallas airline trust,positive,negative,False,positive -> negative
flight arrives e penguin plane,neutral,negative,False,neutral -> negative
check luggage employee told not include wheels dimensions,neutral,negative,False,neutral -> negative
thank,neutral,positive,False,neutral -> positive
cool did not need work today home make sure house ok wind chill,neutral,positive,False,neutral -> positive
link current status flights airports fly bwi ewr mco morning cannot tell problems snow,negative,neutral,False,negative -> neutral
landing early morning snowfall,neutral,positive,False,neutral -> positive
need speak supervisor willing help use credit asap letsworktogether,negative,neutral,False,negative -> neutral
rocking tim mcgraw hold music,neutral,negative,False,neutral -> negative
thanks annoying especially miss flight tweet tsa,negative,positive,False,negative -> positive
moving seats bought months ago happens far,negative,neutral,False,negative -> neutral
air switching aa ios app aa app better,neutral,negative,False,neutral -> negative
work better lesson plans music classes today,negative,neutral,False,negative -> neutral
fleet s fleek smh yall expect trust childish airline life nah,negative,neutral,False,negative -> neutral
flight cancelled flightled yesterday delay today robbed daughter days grandparents thanks,neutral,negative,False,neutral -> negative
oops no functioning bathrooms fairly flight hope new york hold included,negative,neutral,False,negative -> neutral
truck no biggie,neutral,negative,False,neutral -> negative
link email offers u sent year buy transfer miles just expired,negative,neutral,False,negative -> neutral
heart cp status sure nice,positive,neutral,False,positive -> neutral
broken tv seat f flight today planned catch game nooooo,negative,neutral,False,negative -> neutral
answering fast mean hanging,negative,positive,False,negative -> positive
thanks anyways awesome rate amazing customer service nomoreaggravation,neutral,positive,False,neutral -> positive
doubtful fly united traveling lot sales manager covering north america,negative,neutral,False,negative -> neutral
